"Name","Action","Direction"
"{D3A5549C-C4D0-4510-834D-84020BF76C98}","Allow","Outbound"
"{F515F361-ED00-4159-96EF-CBBC25CF2F10}","Allow","Inbound"
"{EEC46A55-BAE3-4BA2-9AAE-81B881657295}","Allow","Outbound"
"{FE3CACC5-A6F4-4B01-98A3-6629690ABD52}","Allow","Outbound"
"{4C9B9DDC-8CC2-463B-9D72-34AF1D87EF21}","Allow","Outbound"
"{86C199BC-6395-49FA-965E-7B9FD0B4A7FA}","Allow","Outbound"
"{264357CC-7A47-48DC-8B0D-26B61517DCB5}","Allow","Outbound"
"{EBC0D0FC-B16D-4E7F-8737-F4A5736F2848}","Allow","Outbound"
"{37AE6943-FE1C-4E6D-864E-7ACEACFCE17E}","Allow","Outbound"
"{AFC2D960-7D9A-46F7-A042-DAD0EA92E5C5}","Allow","Outbound"
"{E5A50486-1CAA-4DA5-9B4D-16FB6361921E}","Allow","Outbound"
"{BF58DAF5-C55D-4EE2-8581-973309F0F2A1}","Allow","Outbound"
"{2DF58C6E-FDF6-4598-B753-F7AD1980D8CB}","Allow","Outbound"
"{069B20AD-D540-404E-AFE8-29B2C4849656}","Allow","Outbound"
"{4C7DAED6-C550-46EA-AC63-9C64D8A1C459}","Allow","Outbound"
"{FE7A6192-59A2-4100-A4EE-1F489EB775F1}","Allow","Outbound"
"{CCD1D6FC-2AE5-4471-B05F-DDC7F01B955C}","Allow","Outbound"
"{279F3A8F-E172-422A-9656-2CBE6656E646}","Allow","Inbound"
"{CBA46814-CE16-41BD-B6AC-33269C36EBC0}","Allow","Outbound"
"{CB1DBA00-7D57-4AE2-B28A-E867837CF723}","Allow","Outbound"
"{6CFC90D9-F507-4589-8550-444AA3DE4823}","Allow","Outbound"
"{09702B39-1E4E-45F2-B4C8-5F848766D7C6}","Allow","Inbound"
"{A6F51DAF-D402-4D65-A325-6FF5F60705E1}","Allow","Outbound"
"{3B85CDD1-1B2A-4B04-B7DA-BF461FED854A}","Allow","Outbound"
"{C135E93C-CABE-4C59-8F2E-0FDEEBAF9823}","Allow","Outbound"
"UDP Query User{0561031F-CB81-4DA0-9251-65672C4BFECC}C:\program files\videolan\vlc\vlc.exe","Block","Inbound"
"TCP Query User{93AD3E7F-EC95-4453-BDF8-E6BAA2A4EF1A}C:\program files\videolan\vlc\vlc.exe","Block","Inbound"
"{42C347A3-61A0-437C-B0F7-35C7A41028C4}","Allow","Outbound"
"{86297E7D-FF03-4FF2-95C2-0B2060272BD1}","Allow","Outbound"
"{2A3A2329-6E81-45DC-909C-B2978E158454}","Allow","Inbound"
"{B8379082-8B58-412D-A375-3D9D00A635EE}","Allow","Outbound"
"{94966792-1CE1-4DF8-84AF-713A86EC1C73}","Allow","Outbound"
"{1A7166E9-C0DC-4DF7-93E2-CDEA3A2D7C4B}","Allow","Inbound"
"{266FACA4-CEA9-4534-82C9-C13D9C1B7B82}","Allow","Outbound"
"{FC4462BC-29D9-44EF-8FC3-34CB7352E8AB}","Allow","Outbound"
"{FFFA3AD6-2564-49AB-96FA-E4FC18182CC6}","Allow","Outbound"
"{6DDA9C30-7266-4014-BDF4-73D02882CC36}","Allow","Outbound"
"{5946466E-3857-4035-A289-834DD253A8C5}","Allow","Outbound"
"{4DD146C1-EE51-4C24-AA9E-C4D96FF3B9DE}","Allow","Outbound"
"{2BA70598-38E0-45A6-A70F-6A28BF4A0014}","Allow","Outbound"
"{767C52D0-1DE5-4741-BE0E-088B294AC5CA}","Allow","Outbound"
"{FA94FDFE-7166-435F-901E-AD46D9336DC5}","Allow","Outbound"
"{7D02E8E9-679D-46FA-A7A4-235152D31EE2}","Allow","Outbound"
"{BCFA9205-A66B-49CB-8DD3-313C7860AE6D}","Allow","Outbound"
"{D49A50EF-E61F-4445-AF86-2C956E709446}","Allow","Outbound"
"{8EA0932E-D6D7-43E7-9922-8E58AE778B85}","Allow","Outbound"
"{E6A21486-D64A-4E93-89FF-F6D7B8604CF8}","Allow","Outbound"
"{FC0E6AF9-4827-48C0-B28C-18AAA9D3B6A2}","Allow","Outbound"
"{CA5B5908-F17B-426E-8A08-3DA966D1050E}","Allow","Outbound"
"{0156F2FC-84CA-4D5F-918B-F91075C35F12}","Allow","Outbound"
"{141A2255-922A-448A-8852-F422DC87E686}","Allow","Outbound"
"{04525C33-12A7-4832-80CE-164140EA217A}","Allow","Inbound"
"{00075B67-602E-4397-8680-9C8114071416}","Allow","Outbound"
"{E1DE61A1-79CF-447F-B525-7207A66CCF4E}","Allow","Outbound"
"{DA42D402-AA23-44C7-B3AB-91798D41A508}","Allow","Outbound"
"{DF66CA16-5581-4408-80EE-B867414CC8CC}","Allow","Outbound"
"{C69157FB-89A0-4A40-91AB-19FEA6B16B27}","Allow","Outbound"
